year,profession,sex,count
52,child,X,4
52,civil servant,F,15
52,civil servant,M,16
52,craftsman,F,23
52,craftsman,M,24
52,craftsman,X,4
52,farmer,F,25
52,farmer,M,31
52,farmer,X,2
52,fisher,F,31
52,fisher,M,25
52,fisher,X,2
52,homemaker,F,26
52,homemaker,M,29
52,homemaker,X,4
52,retired,F,18
52,retired,M,20
52,retired,X,1
52,service provider,F,17
52,service provider,M,19
52,service provider,X,1
52,unemployed,F,7
52,unemployed,M,10
52,unemployed,X,1
53,child,F,82
53,child,M,65
53,child,X,4
53,civil servant,F,16
53,civil servant,M,14
53,craftsman,F,24
53,craftsman,M,25
53,craftsman,X,4
53,farmer,F,25
53,farmer,M,30
53,farmer,X,2
53,fisher,F,31
53,fisher,M,26
53,fisher,X,2
53,homemaker,F,26
53,homemaker,M,30
53,homemaker,X,4
53,retired,F,14
53,retired,M,22
53,retired,X,1
53,service provider,F,19
53,service provider,M,18
53,service provider,X,1
53,unemployed,F,7
53,unemployed,M,8
53,unemployed,X,1
54,child,F,81
54,child,M,65
54,child,X,4
54,civil servant,F,16
54,civil servant,M,13
54,craftsman,F,25
54,craftsman,M,26
54,craftsman,X,4
54,farmer,F,25
54,farmer,M,31
54,farmer,X,2
54,fisher,F,31
54,fisher,M,26
54,fisher,X,1
54,homemaker,F,27
54,homemaker,M,30
54,homemaker,X,3
54,retired,F,14
54,retired,M,20
54,retired,X,3
54,service provider,F,18
54,service provider,M,19
54,service provider,X,1
54,unemployed,F,8
54,unemployed,M,8
54,unemployed,X,1
55,child,F,79
55,child,M,66
55,child,X,4
55,civil servant,F,14
55,civil servant,M,13
55,craftsman,F,26
55,craftsman,M,28
55,craftsman,X,4
55,farmer,F,25
55,farmer,M,31
55,farmer,X,2
55,fisher,F,31
55,fisher,M,29
55,fisher,X,1
55,homemaker,F,28
55,homemaker,M,30
55,homemaker,X,3
55,retired,F,17
55,retired,M,20
55,retired,X,3
55,service provider,F,17
55,service provider,M,19
55,service provider,X,1
55,unemployed,F,7
55,unemployed,M,6
55,unemployed,X,1
56,child,F,76
56,child,M,67
56,child,X,4
56,civil servant,F,14
56,civil servant,M,13
56,craftsman,F,28
56,craftsman,M,29
56,craftsman,X,4
56,farmer,F,27
56,farmer,M,29
56,farmer,X,2
56,fisher,F,31
