year,profession,count
78,homemaker,71
78,retired,33
78,service provider,43
78,unemployed,18
79,child,94
79,civil servant,33
79,craftsman,57
79,farmer,78
79,fisher,83
79,homemaker,71
79,retired,36
79,service provider,42
79,unemployed,19
80,child,92
80,civil servant,33
80,craftsman,56
80,farmer,76
80,fisher,82
80,homemaker,71
80,retired,37
80,service provider,41
80,unemployed,22
81,child,91
81,civil servant,33
81,craftsman,54
81,farmer,75
81,fisher,79
81,homemaker,71
81,retired,42
81,service provider,41
81,unemployed,24
82,child,92
82,civil servant,31
82,craftsman,54
82,farmer,76
82,fisher,77
82,homemaker,71
82,retired,42
82,service provider,42
82,unemployed,23
83,child,92
83,civil servant,30
83,craftsman,53
83,farmer,75
83,fisher,77
83,homemaker,71
83,retired,45
83,service provider,42
83,unemployed,23
84,child,92
84,civil servant,30
84,craftsman,54
84,farmer,74
84,fisher,78
84,homemaker,71
84,retired,44
84,service provider,39
84,unemployed,23
85,child,92
85,civil servant,31
85,craftsman,52
85,farmer,75
85,fisher,81
85,homemaker,67
85,retired,49
85,service provider,38
85,unemployed,23
86,child,91
86,civil servant,32
86,craftsman,52
86,farmer,74
86,fisher,82
86,homemaker,64
86,retired,53
86,service provider,38
86,unemployed,23
87,child,91
87,civil servant,32
87,craftsman,53
87,farmer,73
87,fisher,79
87,homemaker,64
87,retired,54
87,service provider,36
87,unemployed,26
88,child,90
88,civil servant,32
88,craftsman,54
88,farmer,72
88,fisher,78
88,homemaker,64
88,retired,52
88,service provider,37
88,unemployed,26
89,child,89
89,civil servant,32
89,craftsman,52
89,farmer,71
89,fisher,78
89,homemaker,64
89,retired,55
89,service provider,38
89,unemployed,27
90,child,88
90,civil servant,31
90,craftsman,51
90,farmer,74
90,fisher,75
90,homemaker,64
90,retired,59
90,service provider,38
90,unemployed,28
91,child,89
91,civil servant,31
91,craftsman,52
91,farmer,74
91,fisher,74
91,homemaker,63
91,retired,55
91,service provider,38
91,unemployed,27
92,child,91
92,civil servant,30
92,craftsman,51
92,farmer,72
92,fisher,77
92,homemaker,61
92,retired,59
92,service provider,37
92,unemployed,27
93,child,96
93,civil servant,29
93,craftsman,51
93,farmer,72
93,fisher,77
93,homemaker,60
93,retired,53
93,service provider,35
93,unemployed,27
94,child,101
94,civil servant,28
94,craftsman,50
94,farmer,72
94,fisher,78
94,homemaker,56
94,retired,52
94,service provider,35
94,unemployed,27
95,child,108
95,civil servant,27
95,craftsman,51
95,farmer,68
95,fisher,77
95,homemaker,55
95,retired,51
95,service provider,35
95,unemployed,26
96,child,113
96,civil servant,26
96,craftsman,50
96,farmer,68
96,fisher,76
96,homemaker,51
96,retired,55
96,service provider,35
96,unemployed,27
97,child,117
97,civil servant,26
97,craftsman,49
97,farmer,67
97,fisher,74
97,homemaker,51
97,retired,58
97,service provider,34
97,unemployed,27
98,child,120
98,civil servant,26
98,craftsman,48
98,farmer,64
98,fisher,72
98,homemaker,51
98,retired,61
98,service provider,34
98,unemployed,27
99,child,123
99,civil servant,26
99,craftsman,46
99,farmer,65
99,fisher,68
99,homemaker,52
99,retired,65
99,service provider,33
99,unemployed,27
100,child,126
100,civil servant,25
100,craftsman,43
100,farmer,67
100,fisher,67
100,homemaker,54
100,retired,60
100,service provider,32
100,unemployed,27
